temperature_K,velocity_m_s,probability_density
300,0,0.0
300,50,1.23e-05
300,100,4.89e-05
300,150,0.000109
300,200,0.000192
300,250,0.000297
300,300,0.000420
300,350,0.000556
300,400,0.000699
300,450,0.000844
300,500,0.000985
300,550,0.001119
300,600,0.001242
300,650,0.001350
300,700,0.001441
300,750,0.001514
300,800,0.001566
300,850,0.001597
300,900,0.001607
300,950,0.001596
300,1000,0.001565
300,1050,0.001515
300,1100,0.001448
300,1150,0.001366
300,1200,0.001271
300,1250,0.001165
300,1300,0.001050
300,1350,0.000929
300,1400,0.000804
300,1450,0.000678
300,1500,0.000554
600,0,0.0
600,50,6.16e-06
600,100,2.45e-05
600,150,5.47e-05
600,200,9.64e-05
600,250,0.000149
600,300,0.000210
600,350,0.000278
600,400,0.000350
600,450,0.000422
600,500,0.000492
600,550,0.000560
600,600,0.000621
600,650,0.000675
600,700,0.000720
600,750,0.000757
600,800,0.000783
600,850,0.000799
600,900,0.000803
600,950,0.000798
600,1000,0.000782
600,1050,0.000758
600,1100,0.000724
600,1150,0.000683
600,1200,0.000636
600,1250,0.000583
600,1300,0.000525
600,1350,0.000465
600,1400,0.000402
600,1450,0.000339
600,1500,0.000277
600,1550,0.000219
600,1600,0.000165
600,1650,0.000119
600,1700,8.15e-05
600,1750,5.33e-05
600,1800,3.27e-05
600,1850,1.89e-05
600,1900,1.01e-05
600,1950,5.04e-06
600,2000,2.33e-06
1200,0,0.0
1200,50,3.08e-06
1200,100,1.22e-05
1200,150,2.74e-05
1200,200,4.82e-05
1200,250,7.44e-05
1200,300,0.000105
1200,350,0.000139
1200,400,0.000175
1200,450,0.000211
1200,500,0.000246
1200,550,0.000280
1200,600,0.000311
1200,650,0.000338
1200,700,0.000360
1200,750,0.000378
1200,800,0.000391
1200,850,0.000399
1200,900,0.000402
1200,950,0.000399
1200,1000,0.000391
1200,1050,0.000379
1200,1100,0.000362
1200,1150,0.000341
1200,1200,0.000318
1200,1250,0.000291
1200,1300,0.000263
1200,1350,0.000232
1200,1400,0.000201
1200,1450,0.000170
1200,1500,0.000139
1200,1550,0.000110
1200,1600,8.24e-05
1200,1650,5.97e-05
1200,1700,4.07e-05
1200,1750,2.67e-05
1200,1800,1.64e-05
1200,1850,9.47e-06
1200,1900,5.07e-06
1200,1950,2.52e-06
1200,2000,1.17e-06
1200,2050,4.97e-07
1200,2100,1.94e-07
1200,2150,6.87e-08
1200,2200,2.20e-08
1200,2250,6.36e-09
1200,2300,1.66e-09
1200,2350,3.88e-10
1200,2400,8.16e-11
