solvent,viscosity_cP,temperature_K,rate_constant_M_inv_s_inv,notes
hexane,0.300,298,2.15e+09,Low viscosity
acetone,0.306,298,2.08e+09,Similar to hexane
diethyl_ether,0.224,298,2.85e+09,Lowest viscosity
acetonitrile,0.341,298,1.87e+09,Medium viscosity
dichloromethane,0.413,298,1.54e+09,Medium viscosity
THF,0.456,298,1.40e+09,Medium viscosity
methanol,0.544,298,1.17e+09,Higher viscosity
toluene,0.560,298,1.14e+09,Similar to methanol
ethanol,1.074,298,5.93e+08,Much higher viscosity
DMF,0.802,298,7.95e+08,Polar aprotic
DMSO,1.996,298,3.19e+08,Very viscous
water,0.890,298,7.16e+08,Aqueous
glycerol,934.0,298,6.83e+05,Extremely viscous
